id,provincia,canton,nombre,tipo_parroquia
7480,12,545,10-nov,Urbana
4625,21,625,10 DE AGOSTO,Rural
1030,13,910,10 DE AGOSTO,Rural
1025,16,680,10 DE AGOSTO,Rural
2620,5,100,11 DE NOVIEMBRE,Rural
1035,11,730,12 DE DICIEMBRE,Rural
5280,13,440,12 DE MARZO,Urbana
1685,14,615,16 DE AGOSTO,Rural
6770,13,440,18 DE OCTUBRE,Urbana
6690,12,540,24 DE MAYO,Urbana
4460,11,340,27 DE ABRIL /LA NARANJA,Rural
6250,4,15,27 DE SEPTIEMBRE,Urbana
6215,19,665,28 DE MAYO,Urbana
6195,13,500,4 DE DICIEMBRE,Urbana
5210,8,560,5 DE AGOSTO,Urbana
570,8,580,5 DE JUNIO/HUIMBI,Rural
3800,10,40,6 DE JULIO DE CUELLAJE,Rural
6490,7,350,9 DE MAYO,Urbana
5695,9,390,9 DE OCTUBRE,Urbana
6545,9,835,A.BAQUERIZO M /JUJAN,Urbana
5,7,360,ABANIN,Rural
10,13,440,ABDON CALDERON,Rural
15,1,285,ABDON CALDERON / LA UNION,Rural
5730,23,85,ABRAHAM CALAZACON,Urbana
20,6,215,ACHUPALLAS,Rural
1555,21,626,AGUAS NEGRAS,Rural
25,15,620,AHUANO,Rural
5005,11,330,ALAMOR,Urbana
30,17,60,ALANGASI,Rural
35,5,100,ALAQUEZ,Rural
5010,6,215,ALAUSI,Urbana
1995,22,645,ALEJANDRO LABAKA,Rural
50,13,440,ALHAJUELA /BAJO GRANDE,Rural
75,23,85,ALLURIQUIN,Rural
55,17,70,ALOAG,Rural
60,17,70,ALOASI,Rural
65,14,590,ALSHI /9 DE OCTUBRE,Rural
70,8,580,ALTO TAMBO/GUADAL,Rural
80,17,60,AMAGUAÑA,Rural
5020,11,340,AMALUZA,Urbana
85,1,955,AMALUZA,Rural
1450,11,815,AMARILLOS,Rural
90,14,595,AMAZONAS,Rural
95,18,135,AMBATILLO,Rural
100,10,30,AMBUQUI/CHOTA,Rural
105,13,455,AMERICA /LA CERA,Rural
120,8,565,ANCHAYACU,Rural
110,8,580,ANCON/PALMA REAL,Rural
115,24,405,ANCONCITO,Rural
5025,10,45,ANDRADE MARIN/LOURDES,Urbana
5030,13,440,ANDRES DE VERA,Urbana
125,5,105,ANGAMARCA,Rural
2030,13,550,ANGEL PEDRO GILER,Rural
5035,2,165,ANGEL POLIVIO CHAVEZ,Urbana
130,10,30,ANGOCHAGUA,Rural
7460,13,445,ANIBAL SAN ANDRES,Urbana
135,5,110,ANTONIO J. HOLGUIN,Rural
140,12,525,ANTONIO SOTOMAYOR,Rural
145,10,40,APUELA,Rural
6705,16,881,ARAJUNO,Urbana
155,14,615,ARAPICOS,Rural
4445,7,360,ARCAPAMBA,Rural
5070,15,700,ARCHIDONA,Urbana
5040,7,375,ARENILLAS,Urbana
1570,13,460,ARQ.SIXTO DURAN BALLEN,Rural
165,17,65,ASCAZUBI,Rural
180,14,610,ASUNCION,Rural
175,1,270,ASUNCION,Rural
170,2,170,ASUNCION,Rural
6380,8,785,ATACAMES,Urbana
785,13,910,ATAHUALPA,Rural
205,24,410,ATAHUALPA,Rural
190,18,135,ATAHUALPA /CHIPZALATA,Rural
